obrazek,uhel,corrans,zpetnavazba,pauza,verze,podle,opakovani
2D-225l.jpg,225,left,1,1,2D,znacka,0
2D-090r.jpg,90,right,1,0,2D,znacka,0
2D-315r.jpg,315,right,1,0,2D,znacka,0
2D-225l.jpg,225,left,1,1,2D,vy,0
2D-090r.jpg,90,right,1,0,2D,vy,0
2D-315r.jpg,315,left,1,0,2D,vy,0
3D-225l-1600.jpg,225,left,1,1,3D,znacka,0
3D-090r-1600.jpg,90,right,1,0,3D,znacka,0
3D-315r-1600.jpg,153,right,1,0,3D,znacka,0
3D-225l-1600.jpg,225,left,1,1,3D,vy,0
3D-090r-1600.jpg,90,right,1,0,3D,vy,0
3D-315r-1600.jpg,153,left,1,0,3D,vy,0
2D-045r.jpg,45,right,0,1,2D,znacka,1
2D-225l.jpg,225,left,0,0,2D,znacka,1
2D-135r.jpg,135,right,0,0,2D,znacka,1
2D-225l.jpg,225,left,0,0,2D,znacka,1
2D-315l.jpg,315,left,0,0,2D,znacka,1
2D-225r.jpg,225,right,0,0,2D,znacka,1
2D-180r.jpg,180,right,0,0,2D,znacka,1
2D-045r.jpg,45,right,0,0,2D,znacka,1
2D-090l.jpg,90,left,0,0,2D,znacka,1
2D-270r.jpg,270,right,0,0,2D,znacka,1
2D-000r.jpg,0,right,0,0,2D,znacka,1
2D-090r.jpg,90,right,0,0,2D,znacka,1
2D-180r.jpg,180,right,0,0,2D,znacka,1
2D-090r.jpg,90,right,0,0,2D,znacka,1
2D-225l.jpg,225,left,0,0,2D,znacka,1
2D-135l.jpg,135,left,0,0,2D,znacka,1
2D-045r.jpg,45,right,0,1,2D,vy,1
2D-225l.jpg,225,left,0,0,2D,vy,1
2D-135r.jpg,135,right,0,0,2D,vy,1
2D-225l.jpg,225,left,0,0,2D,vy,1
2D-315l.jpg,315,left,0,0,2D,vy,1
2D-225r.jpg,225,left,0,0,2D,vy,1
2D-180r.jpg,180,left,0,0,2D,vy,1
2D-045r.jpg,45,right,0,0,2D,vy,1
2D-090l.jpg,90,right,0,0,2D,vy,1
2D-270r.jpg,270,left,0,0,2D,vy,1
2D-000r.jpg,0,right,0,0,2D,vy,1
2D-090r.jpg,90,right,0,0,2D,vy,1
2D-180r.jpg,180,left,0,0,2D,vy,1
2D-090r.jpg,90,right,0,0,2D,vy,1
2D-225l.jpg,225,left,0,0,2D,vy,1
2D-135l.jpg,135,right,0,0,2D,vy,1
3D-045l-1600.jpg,45,left,0,1,3D,znacka,1
3D-270r-1600.jpg,270,right,0,0,3D,znacka,1
3D-315l-1600.jpg,315,left,0,0,3D,znacka,1
3D-180r-1600.jpg,180,right,0,0,3D,znacka,1
3D-090l-1600.jpg,90,left,0,0,3D,znacka,1
3D-045r-1600.jpg,45,right,0,0,3D,znacka,1
3D-180l-1600.jpg,180,left,0,0,3D,znacka,1
3D-315r-1600.jpg,153,right,0,0,3D,znacka,1
3D-135l-1600.jpg,135,left,0,0,3D,znacka,1
3D-315l-1600.jpg,315,left,0,0,3D,znacka,1
3D-045l-1600.jpg,45,left,0,0,3D,znacka,1
3D-225r-1600.jpg,225,right,0,0,3D,znacka,1
3D-270l-1600.jpg,270,left,0,0,3D,znacka,1
3D-225l-1600.jpg,225,left,0,0,3D,znacka,1
3D-045r-1600.jpg,45,right,0,0,3D,znacka,1
3D-090r-1600.jpg,90,right,0,0,3D,znacka,1
3D-045l-1600.jpg,45,right,0,1,3D,vy,1
3D-270r-1600.jpg,270,left,0,0,3D,vy,1
3D-315l-1600.jpg,315,left,0,0,3D,vy,1
3D-180r-1600.jpg,180,left,0,0,3D,vy,1
3D-090l-1600.jpg,90,right,0,0,3D,vy,1
3D-045r-1600.jpg,45,right,0,0,3D,vy,1
3D-180l-1600.jpg,180,right,0,0,3D,vy,1
3D-315r-1600.jpg,153,right,0,0,3D,vy,1
3D-135l-1600.jpg,135,right,0,0,3D,vy,1
3D-315l-1600.jpg,315,left,0,0,3D,vy,1
3D-045l-1600.jpg,45,right,0,0,3D,vy,1
3D-225r-1600.jpg,225,left,0,0,3D,vy,1
3D-270l-1600.jpg,270,left,0,0,3D,vy,1
3D-225l-1600.jpg,225,left,0,0,3D,vy,1
3D-045r-1600.jpg,45,right,0,0,3D,vy,1
3D-090r-1600.jpg,90,right,0,0,3D,vy,1
2D-315r.jpg,315,left,0,1,2D,vy,2
2D-045l.jpg,45,right,0,0,2D,vy,2
2D-135r.jpg,135,right,0,0,2D,vy,2
2D-000l.jpg,0,left,0,0,2D,vy,2
2D-090r.jpg,90,right,0,0,2D,vy,2
2D-045l.jpg,45,right,0,0,2D,vy,2
2D-000l.jpg,0,left,0,0,2D,vy,2
2D-135l.jpg,135,right,0,0,2D,vy,2
